G,Date,Time,Opponent,result,L,Streak,,,,,
1,"Tue, Oct 25, 2016",10:00p ET,Utah Jazz,W,,113,104,,,,
2,"Thu, Oct 27, 2016",10:30p ET,Los Angeles Clippers,L,,106,114,,,,
3,"Sat, Oct 29, 2016",9:00p ET,Denver Nuggets,W,OT,115,113,,,,
4,"Tue, Nov 1, 2016",10:00p ET,Golden State Warriors,L,,104,127,,,,
5,"Wed, Nov 2, 2016",10:00p ET,Phoenix Suns,L,OT,115,118,,,,
6,"Fri, Nov 4, 2016",8:30p ET,Dallas Mavericks,W,,105,95,,,,
7,"Sun, Nov 6, 2016",3:30p ET,Memphis Grizzlies,W,,100,94,,,,
8,"Tue, Nov 8, 2016",10:00p ET,Phoenix Suns,W,,124,121,,,,
9,"Wed, Nov 9, 2016",10:30p ET,Los Angeles Clippers,L,,80,111,,,,
10,"Fri, Nov 11, 2016",10:00p ET,Sacramento Kings,W,OT,122,120,,,,
11,"Sun, Nov 13, 2016",9:00p ET,Denver Nuggets,W,,112,105,,,,
12,"Tue, Nov 15, 2016",10:00p ET,Chicago Bulls,L,,88,113,,,,
13,"Thu, Nov 17, 2016",8:00p ET,Houston Rockets,L,,109,126,,,,
14,"Fri, Nov 18, 2016",8:00p ET,New Orleans Pelicans,L,,101,113,,,,
15,"Sun, Nov 20, 2016",3:30p ET,Brooklyn Nets,W,,129,109,,,,
16,"Tue, Nov 22, 2016",7:30p ET,New York Knicks,L,,103,107,,,,
17,"Wed, Nov 23, 2016",7:00p ET,Cleveland Cavaliers,L,,125,137,,,,
18,"Fri, Nov 25, 2016",10:00p ET,New Orleans Pelicans,W,,119,104,,,,
19,"Sun, Nov 27, 2016",9:00p ET,Houston Rockets,L,,114,130,,,,
20,"Wed, Nov 30, 2016",10:00p ET,Indiana Pacers,W,,131,109,,,,
21,"Sat, Dec 3, 2016",10:00p ET,Miami Heat,W,,99,92,11,,,
22,"Mon, Dec 5, 2016",8:00p ET,Chicago Bulls,W,,112,110,12,,,
23,"Wed, Dec 7, 2016",8:00p ET,Milwaukee Bucks,L,,107,115,12,,,
24,"Thu, Dec 8, 2016",8:00p ET,Memphis Grizzlies,L,,86,88,12,,,
25,"Sat, Dec 10, 2016",7:00p ET,Indiana Pacers,L,,111,118,12,,,
26,"Mon, Dec 12, 2016",10:30p ET,Los Angeles Clippers,L,,120,121,12,,,
27,"Tue, Dec 13, 2016",10:30p ET,Oklahoma City Thunder,W,,114,95,13,,,
28,"Thu, Dec 15, 2016",9:00p ET,Denver Nuggets,L,,120,132,13,,,
29,"Sat, Dec 17, 2016",10:30p ET,Golden State Warriors,L,,90,135,13,,,
30,"Tue, Dec 20, 2016",10:30p ET,Sacramento Kings,L,,121,126,13,,,
31,"Wed, Dec 21, 2016",10:00p ET,Dallas Mavericks,L,,95,96,13,,,
32,"Fri, Dec 23, 2016",10:00p ET,San Antonio Spurs,L,,90,110,13,,,
33,"Mon, Dec 26, 2016",10:00p ET,Toronto Raptors,L,,91,95,13,,,
34,"Wed, Dec 28, 2016",10:00p ET,Sacramento Kings,W,,102,89,14,,,
35,"Fri, Dec 30, 2016",8:30p ET,San Antonio Spurs,L,,94,110,14,,,
36,"Sun, Jan 1, 2017",7:00p ET,Minnesota Timberwolves,W,,95,89,15,,,
37,"Wed, Jan 4, 2017",10:30p ET,Golden State Warriors,L,,117,125,15,,,
38,"Thu, Jan 5, 2017",10:30p ET,Los Angeles Lakers,W,,118,109,16,,,
39,"Sun, Jan 8, 2017",9:00p ET,Detroit Pistons,L,2OT,124,125,16,,,
40,"Tue, Jan 10, 2017",10:30p ET,Los Angeles Lakers,W,,108,87,17,,,
41,"Wed, Jan 11, 2017",10:30p ET,Cleveland Cavaliers,W,,102,86,18,,,
42,"Fri, Jan 13, 2017",10:00p ET,Orlando Magic,L,,109,115,18,,,
43,"Mon, Jan 16, 2017",2:00p ET,Washington Wizards,L,,101,120,18,,,
44,"Wed, Jan 18, 2017",7:00p ET,Charlotte Hornets,L,,85,107,18,,,
45,"Fri, Jan 20, 2017",7:00p ET,Philadelphia 76ers,L,,92,93,18,,,
46,"Sat, Jan 21, 2017",5:00p ET,Boston Celtics,W,OT,127,123,19,,,
47,"Wed, Jan 25, 2017",10:30p ET,Los Angeles Lakers,W,,105,98,20,,,
48,"Fri, Jan 27, 2017",10:00p ET,Memphis Grizzlies,W,,112,109,21,,,
49,"Sun, Jan 29, 2017",9:00p ET,Golden State Warriors,L,,111,113,21,,,
50,"Tue, Jan 31, 2017",10:00p ET,Charlotte Hornets,W,,115,98,22,,,
51,"Fri, Feb 3, 2017",10:30p ET,Dallas Mavericks,L,,104,108,22,,,
52,"Sun, Feb 5, 2017",3:00p ET,Oklahoma City Thunder,L,,99,105,22,,,
53,"Tue, Feb 7, 2017",8:30p ET,Dallas Mavericks,W,,114,113,23,,,
54,"Thu, Feb 9, 2017",10:30p ET,Boston Celtics,L,,111,120,23,,,
55,"Mon, Feb 13, 2017",10:30p ET,Atlanta Hawks,L,OT,104,109,23,,,
56,"Wed, Feb 15, 2017",9:00p ET,Utah Jazz,L,,88,111,23,,,
57,"Thu, Feb 23, 2017",7:00p ET,Orlando Magic,W,,112,103,24,,,
58,"Sun, Feb 26, 2017",6:00p ET,Toronto Raptors,L,,106,112,24,,,
59,"Tue, Feb 28, 2017",7:30p ET,Detroit Pistons,L,OT,113,120,24,,,
60,"Thu, Mar 2, 2017",10:30p ET,Oklahoma City Thunder,W,,114,109,25,,,
61,"Sat, Mar 4, 2017",10:00p ET,Brooklyn Nets,W,,130,116,26,35,W 2,
62,"Tue, Mar 7, 2017",8:00p ET,Oklahoma City Thunder,W,,126,121,27,35,W 3,
63,"Thu, Mar 9, 2017",10:00p ET,Philadelphia 76ers,W,OT,114,108,28,35,W 4,
64,"Sat, Mar 11, 2017",10:00p ET,Washington Wizards,L,OT,124,125,28,36,L 1,
65,"Sun, Mar 12, 2017",9:00p ET,Phoenix Suns,W,,110,101,29,36,W 1,
66,"Tue, Mar 14, 2017",8:00p ET,New Orleans Pelicans,L,,77,100,29,37,L 1,
67,"Wed, Mar 15, 2017",8:00p ET,San Antonio Spurs,W,,110,106,30,37,W 1,
68,"Sat, Mar 18, 2017",6:00p ET,Atlanta Hawks,W,,113,97,31,37,W 2,
69,"Sun, Mar 19, 2017",6:00p ET,Miami Heat,W,,115,104,32,37,W 3,
70,"Tue, Mar 21, 2017",10:00p ET,Milwaukee Bucks,L,,90,93,32,38,L 1,
71,"Thu, Mar 23, 2017",10:00p ET,New York Knicks,W,,110,95,33,38,W 1,
72,"Sat, Mar 25, 2017",10:00p ET,Minnesota Timberwolves,W,,112,100,34,38,W 2,
73,"Sun, Mar 26, 2017",9:30p ET,Los Angeles Lakers,W,,97,81,35,38,W 3,
74,"Tue, Mar 28, 2017",10:00p ET,Denver Nuggets,W,,122,113,36,38,W 4,
75,"Thu, Mar 30, 2017",10:30p ET,Houston Rockets,W,,117,107,37,38,W 5,
76,"Sat, Apr 1, 2017",10:00p ET,Phoenix Suns,W,,130,117,38,38,W 6,
77,"Mon, Apr 3, 2017",7:00p ET,Minnesota Timberwolves,L,,109,110,38,39,L 1,
78,"Tue, Apr 4, 2017",9:00p ET,Utah Jazz,L,,87,106,38,40,L 2,
79,"Thu, Apr 6, 2017",10:30p ET,Minnesota Timberwolves,W,,105,98,39,40,W 1,
80,"Sat, Apr 8, 2017",10:00p ET,Utah Jazz,W,,101,86,40,40,W 2,
81,"Mon, Apr 10, 2017",10:00p ET,San Antonio Spurs,W,,99,98,41,40,W 3,
82,"Wed, Apr 12, 2017",10:30p ET,New Orleans Pelicans,L,,100,103,41,41,L 1,
