G,Date,Time,Opponent,result,L,Streak,,,,,
1,"Wed, Oct 26, 2016",8:00p ET,Minnesota Timberwolves,W,,102,98,1,0,W 1,
2,"Sat, Oct 29, 2016",7:30p ET,New York Knicks,L,,104,111,1,1,L 1,
3,"Sun, Oct 30, 2016",8:00p ET,Washington Wizards,W,OT,112,103,2,1,W 1,
4,"Tue, Nov 1, 2016",8:00p ET,Minnesota Timberwolves,L,,80,116,2,2,L 1,
5,"Wed, Nov 2, 2016",8:00p ET,New Orleans Pelicans,W,OT,89,83,3,2,W 1,
6,"Fri, Nov 4, 2016",8:00p ET,Los Angeles Clippers,L,,88,99,3,3,L 1,
7,"Sun, Nov 6, 2016",3:30p ET,Portland Trail Blazers,L,,94,100,3,4,L 2,
8,"Tue, Nov 8, 2016",8:00p ET,Denver Nuggets,W,,108,107,4,4,W 1,
9,"Sat, Nov 12, 2016",8:30p ET,Milwaukee Bucks,L,,96,106,4,5,L 1,
10,"Mon, Nov 14, 2016",9:00p ET,Utah Jazz,W,,102,96,5,5,W 1,
11,"Wed, Nov 16, 2016",10:30p ET,Los Angeles Clippers,W,,111,107,6,5,W 2,
12,"Fri, Nov 18, 2016",8:30p ET,Dallas Mavericks,W,,80,64,7,5,W 3,
13,"Sat, Nov 19, 2016",8:00p ET,Minnesota Timberwolves,W,,93,71,8,5,W 4,
14,"Mon, Nov 21, 2016",7:00p ET,Charlotte Hornets,W,,105,90,9,5,W 5,
15,"Wed, Nov 23, 2016",7:00p ET,Philadelphia 76ers,W,2OT,104,99,10,5,W 6,
16,"Fri, Nov 25, 2016",8:00p ET,Miami Heat,L,,81,90,10,6,L 1,
17,"Sat, Nov 26, 2016",8:00p ET,Miami Heat,W,,110,107,11,6,W 1,
18,"Mon, Nov 28, 2016",8:00p ET,Charlotte Hornets,L,,85,104,11,7,L 1,
19,"Wed, Nov 30, 2016",7:30p ET,Toronto Raptors,L,,105,120,11,8,L 2,
20,"Thu, Dec 1, 2016",8:00p ET,Orlando Magic,W,,95,94,12,8,W 1,
21,"Sat, Dec 3, 2016",8:00p ET,Los Angeles Lakers,W,,103,100,13,8,W 2,
22,"Mon, Dec 5, 2016",8:00p ET,New Orleans Pelicans,W,2OT,110,108,14,8,W 3,
23,"Tue, Dec 6, 2016",8:00p ET,Philadelphia 76ers,W,,96,91,15,8,W 4,
24,"Thu, Dec 8, 2016",8:00p ET,Portland Trail Blazers,W,,88,86,16,8,W 5,
25,"Sat, Dec 10, 2016",8:00p ET,Golden State Warriors,W,,110,89,17,8,W 6,
26,"Tue, Dec 13, 2016",7:00p ET,Cleveland Cavaliers,L,,86,103,17,9,L 1,
27,"Wed, Dec 14, 2016",8:00p ET,Cleveland Cavaliers,W,,93,85,18,9,W 1,
28,"Fri, Dec 16, 2016",8:00p ET,Sacramento Kings,L,,92,96,18,10,L 1,
29,"Sun, Dec 18, 2016",6:00p ET,Utah Jazz,L,,73,82,18,11,L 2,
30,"Tue, Dec 20, 2016",8:00p ET,Boston Celtics,L,OT,109,112,18,12,L 3,
31,"Wed, Dec 21, 2016",7:30p ET,Detroit Pistons,W,,98,86,19,12,W 1,
32,"Fri, Dec 23, 2016",8:00p ET,Houston Rockets,W,,115,109,20,12,W 2,
33,"Mon, Dec 26, 2016",7:00p ET,Orlando Magic,L,,102,112,20,13,L 1,
34,"Tue, Dec 27, 2016",7:30p ET,Boston Celtics,L,,103,113,20,14,L 2,
35,"Thu, Dec 29, 2016",8:00p ET,Oklahoma City Thunder,W,,114,80,21,14,W 1,
36,"Sat, Dec 31, 2016",5:00p ET,Sacramento Kings,W,,112,98,22,14,W 2,
37,"Tue, Jan 3, 2017",10:30p ET,Los Angeles Lakers,L,,102,116,22,15,L 1,
38,"Wed, Jan 4, 2017",10:30p ET,Los Angeles Clippers,L,,106,115,22,16,L 2,
39,"Fri, Jan 6, 2017",10:30p ET,Golden State Warriors,W,OT,128,119,23,16,W 1,
