G,Date,Time,Opponent,result,Tm,Opp,W,L,Streak,
1,"Wed, Oct 26, 2016",8:00p ET,Philadelphia 76ers,W,103,97,1,0,W 1,
2,"Fri, Oct 28, 2016",8:00p ET,Phoenix Suns,W,113,110,2,0,W 2,OT
3,"Sun, Oct 30, 2016",7:00p ET,Los Angeles Lakers,W,113,96,3,0,W 3,
4,"Wed, Nov 2, 2016",10:30p ET,Los Angeles Clippers,W,85,83,4,0,W 4,
5,"Thu, Nov 3, 2016",10:30p ET,Golden State Warriors,L,96,122,4,1,L 1,
6,"Sat, Nov 5, 2016",6:00p ET,Minnesota Timberwolves,W,112,92,5,1,W 1,
7,"Mon, Nov 7, 2016",8:00p ET,Miami Heat,W,97,85,6,1,W 2,
8,"Wed, Nov 9, 2016",8:00p ET,Toronto Raptors,L,102,112,6,2,L 1,
9,"Fri, Nov 11, 2016",8:00p ET,Los Angeles Clippers,L,108,110,6,3,L 2,
10,"Sun, Nov 13, 2016",7:00p ET,Orlando Magic,L,117,119,6,4,L 3,
11,"Mon, Nov 14, 2016",7:30p ET,Detroit Pistons,L,88,104,6,5,L 4,
12,"Wed, Nov 16, 2016",8:00p ET,Houston Rockets,W,105,103,7,5,W 1,
13,"Fri, Nov 18, 2016",8:00p ET,Brooklyn Nets,W,124,105,8,5,W 2,
14,"Sun, Nov 20, 2016",7:00p ET,Indiana Pacers,L,111,115,8,6,L 1,OT
15,"Tue, Nov 22, 2016",10:30p ET,Los Angeles Lakers,L,109,111,8,7,L 2,
16,"Wed, Nov 23, 2016",10:30p ET,Sacramento Kings,L,101,116,8,8,L 3,
17,"Fri, Nov 25, 2016",9:00p ET,Denver Nuggets,W,132,129,9,8,W 1,OT
18,"Sat, Nov 26, 2016",8:00p ET,Detroit Pistons,W,106,88,10,8,W 2,
19,"Mon, Nov 28, 2016",7:30p ET,New York Knicks,W,112,103,11,8,W 3,
20,"Wed, Nov 30, 2016",8:00p ET,Washington Wizards,W,126,115,12,8,W 4,OT
21,"Sun, Dec 4, 2016",7:00p ET,New Orleans Pelicans,W,101,92,13,8,W 5,
22,"Mon, Dec 5, 2016",7:30p ET,Atlanta Hawks,W,102,99,14,8,W 6,
23,"Fri, Dec 9, 2016",8:00p ET,Houston Rockets,L,99,102,14,9,L 1,
24,"Sun, Dec 11, 2016",7:00p ET,Boston Celtics,W,99,96,15,9,W 1,
25,"Tue, Dec 13, 2016",10:30p ET,Portland Trail Blazers,L,95,114,15,10,L 1,
26,"Wed, Dec 14, 2016",9:00p ET,Utah Jazz,L,89,109,15,11,L 2,
27,"Sat, Dec 17, 2016",5:00p ET,Phoenix Suns,W,114,101,16,11,W 1,
28,"Mon, Dec 19, 2016",8:00p ET,Atlanta Hawks,L,108,110,16,12,L 1,
29,"Wed, Dec 21, 2016",8:00p ET,New Orleans Pelicans,W,121,110,17,12,W 1,
30,"Fri, Dec 23, 2016",7:30p ET,Boston Celtics,W,117,112,18,12,W 2,
31,"Sun, Dec 25, 2016",8:00p ET,Minnesota Timberwolves,W,112,100,19,12,W 3,
32,"Tue, Dec 27, 2016",7:30p ET,Miami Heat,W,106,94,20,12,W 4,
33,"Thu, Dec 29, 2016",8:00p ET,Memphis Grizzlies,L,80,114,20,13,L 1,
34,"Sat, Dec 31, 2016",8:00p ET,Los Angeles Clippers,W,114,88,21,13,W 1,
35,"Mon, Jan 2, 2017",7:00p ET,Milwaukee Bucks,L,94,98,21,14,L 1,
36,"Wed, Jan 4, 2017",7:00p ET,Charlotte Hornets,L,112,123,21,15,L 2,
37,"Thu, Jan 5, 2017",8:00p ET,Houston Rockets,L,116,118,21,16,L 3,
38,"Sat, Jan 7, 2017",8:00p ET,Denver Nuggets,W,121,106,22,16,W 1,
39,"Mon, Jan 9, 2017",8:00p ET,Chicago Bulls,W,109,94,23,16,W 2,
40,"Wed, Jan 11, 2017",8:00p ET,Memphis Grizzlies,W,103,95,24,16,W 3,
41,"Fri, Jan 13, 2017",8:00p ET,Minnesota Timberwolves,L,86,96,24,17,L 1,
42,"Sun, Jan 15, 2017",9:00p ET,Sacramento Kings,W,122,118,25,17,W 1,
43,"Mon, Jan 16, 2017",10:30p ET,Los Angeles Clippers,L,98,120,25,18,L 1,
44,"Wed, Jan 18, 2017",10:30p ET,Golden State Warriors,L,100,121,25,19,L 2,
45,"Mon, Jan 23, 2017",9:00p ET,Utah Jazz,W,97,95,26,19,W 1,
46,"Wed, Jan 25, 2017",8:00p ET,New Orleans Pelicans,W,114,105,27,19,W 2,
47,"Thu, Jan 26, 2017",8:00p ET,Dallas Mavericks,W,109,98,28,19,W 3,
48,"Sun, Jan 29, 2017",3:30p ET,Cleveland Cavaliers,L,91,107,28,20,L 1,
49,"Tue, Jan 31, 2017",8:30p ET,San Antonio Spurs,L,94,108,28,21,L 2,
50,"Wed, Feb 1, 2017",9:30p ET,Chicago Bulls,L,100,128,28,22,L 3,
51,"Fri, Feb 3, 2017",8:00p ET,Memphis Grizzlies,W,114,102,29,22,W 1,
52,"Sun, Feb 5, 2017",3:00p ET,Portland Trail Blazers,W,105,99,30,22,W 2,
53,"Mon, Feb 6, 2017",7:00p ET,Indiana Pacers,L,90,93,30,23,L 1,
54,"Thu, Feb 9, 2017",8:00p ET,Cleveland Cavaliers,W,118,109,31,23,W 1,
55,"Sat, Feb 11, 2017",8:30p ET,Golden State Warriors,L,114,130,31,24,L 1,
56,"Mon, Feb 13, 2017",8:00p ET,Washington Wizards,L,98,120,31,25,L 2,
57,"Wed, Feb 15, 2017",9:30p ET,New York Knicks,W,116,105,32,25,W 1,
58,"Fri, Feb 24, 2017",8:00p ET,Los Angeles Lakers,W,110,93,33,25,W 2,
59,"Sun, Feb 26, 2017",7:00p ET,New Orleans Pelicans,W,118,110,34,25,W 3,
60,"Tue, Feb 28, 2017",8:00p ET,Utah Jazz,W,109,106,35,25,W 4,
61,"Thu, Mar 2, 2017",10:30p ET,Portland Trail Blazers,L,109,114,35,26,L 1,
62,"Fri, Mar 3, 2017",9:00p ET,Phoenix Suns,L,111,118,35,27,L 2,
63,"Sun, Mar 5, 2017",8:30p ET,Dallas Mavericks,L,89,104,35,28,L 3,
64,"Tue, Mar 7, 2017",8:00p ET,Portland Trail Blazers,L,121,126,35,29,L 4,
65,"Thu, Mar 9, 2017",8:00p ET,San Antonio Spurs,W,102,92,36,29,W 1,
66,"Sat, Mar 11, 2017",3:00p ET,Utah Jazz,W,112,104,37,29,W 2,
67,"Tue, Mar 14, 2017",7:30p ET,Brooklyn Nets,W,122,104,38,29,W 3,
68,"Thu, Mar 16, 2017",7:00p ET,Toronto Raptors,W,123,102,39,29,W 4,
69,"Sat, Mar 18, 2017",3:00p ET,Sacramento Kings,W,110,94,40,29,W 5,
70,"Mon, Mar 20, 2017",8:00p ET,Golden State Warriors,L,95,111,40,30,L 1,
71,"Wed, Mar 22, 2017",8:00p ET,Philadelphia 76ers,W,122,97,41,30,W 1,
72,"Sun, Mar 26, 2017",3:30p ET,Houston Rockets,L,125,137,41,31,L 1,
73,"Mon, Mar 27, 2017",8:30p ET,Dallas Mavericks,W,92,91,42,31,W 1,
74,"Wed, Mar 29, 2017",7:00p ET,Orlando Magic,W,114,106,43,31,W 2,OT
75,"Fri, Mar 31, 2017",8:00p ET,San Antonio Spurs,L,95,100,43,32,L 1,
76,"Sun, Apr 2, 2017",3:00p ET,Charlotte Hornets,L,101,113,43,33,L 2,
77,"Tue, Apr 4, 2017",8:00p ET,Milwaukee Bucks,W,110,79,44,33,W 1,
78,"Wed, Apr 5, 2017",8:00p ET,Memphis Grizzlies,W,103,100,45,33,W 2,
79,"Fri, Apr 7, 2017",10:00p ET,Phoenix Suns,L,99,120,45,34,L 1,
80,"Sun, Apr 9, 2017",5:00p ET,Denver Nuggets,W,106,105,46,34,W 1,
81,"Tue, Apr 11, 2017",8:00p ET,Minnesota Timberwolves,W,100,98,47,34,W 2,
82,"Wed, Apr 12, 2017",8:00p ET,Denver Nuggets,L,105,111,47,35,L 1,
